09:40:00.002945	 action=Action [customId=93	 type=SELL	 stock=2609 陽明	 volume=9	 price=72.20	 orderType=ROD]	 orderId=624827	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=94	 type=SELL	 stock=2609 陽明	 volume=35	 price=72.10	 orderType=ROD]	 orderId=624828	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=95	 type=SELL	 stock=2618 長榮航	 volume=23	 price=42.70	 orderType=ROD]	 orderId=624829	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=96	 type=SELL	 stock=2618 長榮航	 volume=4	 price=42.65	 orderType=ROD]	 orderId=624830	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=97	 type=SELL	 stock=2885 元大金	 volume=26	 price=36.45	 orderType=ROD]	 orderId=624831	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=98	 type=SELL	 stock=3231 緯創	 volume=6	 price=108.00	 orderType=ROD]	 orderId=624832	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=99	 type=SELL	 stock=3231 緯創	 volume=29	 price=107.50	 orderType=ROD]	 orderId=624833	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=100	 type=SELL	 stock=3481 群創	 volume=31	 price=14.75	 orderType=ROD]	 orderId=624834	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=101	 type=SELL	 stock=3481 群創	 volume=57	 price=14.70	 orderType=ROD]	 orderId=624835	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=102	 type=SELL	 stock=3706 神達	 volume=1	 price=68.60	 orderType=ROD]	 orderId=624836	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=103	 type=SELL	 stock=3706 神達	 volume=16	 price=68.50	 orderType=ROD]	 orderId=624837	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=104	 type=SELL	 stock=6757 台灣虎航	 volume=2	 price=83.20	 orderType=ROD]	 orderId=624838	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=105	 type=SELL	 stock=6757 台灣虎航	 volume=2	 price=83.00	 orderType=ROD]	 orderId=624839	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=106	 type=SELL	 stock=6139 亞翔	 volume=1	 price=267.50	 orderType=ROD]	 orderId=624840	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=107	 type=SELL	 stock=6139 亞翔	 volume=3	 price=267.00	 orderType=ROD]	 orderId=624841	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=108	 type=SELL	 stock=2368 金像電	 volume=9	 price=217.50	 orderType=ROD]	 orderId=624842	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=109	 type=SELL	 stock=2368 金像電	 volume=8	 price=217.00	 orderType=ROD]	 orderId=624843	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=110	 type=SELL	 stock=6446 藥華藥	 volume=2	 price=636.00	 orderType=ROD]	 orderId=624844	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=111	 type=SELL	 stock=6446 藥華藥	 volume=2	 price=635.00	 orderType=ROD]	 orderId=624845	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=112	 type=SELL	 stock=6438 迅得	 volume=4	 price=192.50	 orderType=ROD]	 orderId=624846	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=113	 type=SELL	 stock=5388 中磊	 volume=3	 price=135.00	 orderType=ROD]	 orderId=624847	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=114	 type=SELL	 stock=5388 中磊	 volume=1	 price=134.50	 orderType=ROD]	 orderId=624848	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=115	 type=SELL	 stock=4772 台特化	 volume=3	 price=237.50	 orderType=ROD]	 orderId=624849	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=116	 type=SELL	 stock=4772 台特化	 volume=1	 price=237.00	 orderType=ROD]	 orderId=624850	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=117	 type=DELETE	 targetOrderId=624758]	 orderId=-1	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=118	 type=DELETE	 targetOrderId=624774]	 orderId=-1	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=119	 type=DELETE	 targetOrderId=624786]	 orderId=-1	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=120	 type=DELETE	 targetOrderId=624788]	 orderId=-1	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=121	 type=DELETE	 targetOrderId=624790]	 orderId=-1	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=122	 type=DELETE	 targetOrderId=624796]	 orderId=-1	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=123	 type=DELETE	 targetOrderId=624801]	 orderId=-1	 msg='[SUCCESS]'
09:40:00.002945	 action=Action [customId=124	 type=DELETE	 targetOrderId=624806]	 orderId=-1	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=125	 type=SELL	 stock=1301 台塑	 volume=15	 price=37.70	 orderType=ROD]	 orderId=624859	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=126	 type=SELL	 stock=1301 台塑	 volume=26	 price=37.65	 orderType=ROD]	 orderId=624860	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=127	 type=SELL	 stock=2049 上銀	 volume=1	 price=300.00	 orderType=ROD]	 orderId=624861	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=128	 type=SELL	 stock=2049 上銀	 volume=8	 price=299.50	 orderType=ROD]	 orderId=624862	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=129	 type=SELL	 stock=2317 鴻海	 volume=48	 price=172.50	 orderType=ROD]	 orderId=624863	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=130	 type=SELL	 stock=2317 鴻海	 volume=2	 price=172.00	 orderType=ROD]	 orderId=624864	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=131	 type=SELL	 stock=2330 台積電	 volume=28	 price=1015.00	 orderType=ROD]	 orderId=624865	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=132	 type=SELL	 stock=2330 台積電	 volume=9	 price=1010.00	 orderType=ROD]	 orderId=624866	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=133	 type=SELL	 stock=2337 旺宏	 volume=34	 price=21.50	 orderType=ROD]	 orderId=624867	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=134	 type=SELL	 stock=2374 佳能	 volume=12	 price=59.60	 orderType=ROD]	 orderId=624868	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=135	 type=SELL	 stock=2409 友達	 volume=18	 price=14.80	 orderType=ROD]	 orderId=624869	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=136	 type=SELL	 stock=2609 陽明	 volume=43	 price=72.40	 orderType=ROD]	 orderId=624870	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=137	 type=SELL	 stock=2609 陽明	 volume=1	 price=72.30	 orderType=ROD]	 orderId=624871	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=138	 type=SELL	 stock=2618 長榮航	 volume=21	 price=42.75	 orderType=ROD]	 orderId=624872	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=139	 type=SELL	 stock=2618 長榮航	 volume=6	 price=42.70	 orderType=ROD]	 orderId=624873	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=140	 type=SELL	 stock=2885 元大金	 volume=7	 price=36.40	 orderType=ROD]	 orderId=624874	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=141	 type=SELL	 stock=2885 元大金	 volume=22	 price=36.35	 orderType=ROD]	 orderId=624875	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=142	 type=SELL	 stock=3231 緯創	 volume=2	 price=108.00	 orderType=ROD]	 orderId=624876	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=143	 type=SELL	 stock=3231 緯創	 volume=34	 price=107.50	 orderType=ROD]	 orderId=624877	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=144	 type=SELL	 stock=3481 群創	 volume=6	 price=14.75	 orderType=ROD]	 orderId=624878	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=145	 type=SELL	 stock=3481 群創	 volume=85	 price=14.70	 orderType=ROD]	 orderId=624879	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=146	 type=SELL	 stock=3706 神達	 volume=13	 price=68.30	 orderType=ROD]	 orderId=624880	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=147	 type=SELL	 stock=3706 神達	 volume=4	 price=68.20	 orderType=ROD]	 orderId=624881	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=148	 type=SELL	 stock=6757 台灣虎航	 volume=3	 price=83.30	 orderType=ROD]	 orderId=624882	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=149	 type=SELL	 stock=6757 台灣虎航	 volume=1	 price=83.10	 orderType=ROD]	 orderId=624883	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=150	 type=SELL	 stock=6139 亞翔	 volume=1	 price=268.00	 orderType=ROD]	 orderId=624884	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=151	 type=SELL	 stock=6139 亞翔	 volume=3	 price=267.00	 orderType=ROD]	 orderId=624885	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=152	 type=SELL	 stock=2368 金像電	 volume=10	 price=216.50	 orderType=ROD]	 orderId=624886	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=153	 type=SELL	 stock=2368 金像電	 volume=8	 price=216.00	 orderType=ROD]	 orderId=624887	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=154	 type=SELL	 stock=6446 藥華藥	 volume=4	 price=634.00	 orderType=ROD]	 orderId=624888	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=155	 type=SELL	 stock=6438 迅得	 volume=1	 price=193.00	 orderType=ROD]	 orderId=624889	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=156	 type=SELL	 stock=6438 迅得	 volume=3	 price=192.50	 orderType=ROD]	 orderId=624890	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=157	 type=SELL	 stock=5388 中磊	 volume=1	 price=135.00	 orderType=ROD]	 orderId=624891	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=158	 type=SELL	 stock=5388 中磊	 volume=3	 price=134.50	 orderType=ROD]	 orderId=624892	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=159	 type=SELL	 stock=4772 台特化	 volume=3	 price=238.50	 orderType=ROD]	 orderId=624893	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=160	 type=SELL	 stock=4772 台特化	 volume=1	 price=238.00	 orderType=ROD]	 orderId=624894	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=161	 type=DELETE	 targetOrderId=624825]	 orderId=-1	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=162	 type=DELETE	 targetOrderId=624831]	 orderId=-1	 msg='[SUCCESS]'
09:45:00.004402	 action=Action [customId=163	 type=DELETE	 targetOrderId=624842]	 orderId=-1	 msg='[SUCCESS]'
09:50:00.002686	 action=Action [customId=164	 type=SELL	 stock=1301 台塑	 volume=1	 price=37.75	 orderType=ROD]	 orderId=624898	 msg='[SUCCESS]'
09:50:00.002686	 action=Action [customId=165	 type=SELL	 stock=1301 台塑	 volume=41	 price=37.70	 orderType=ROD]	 orderId=624899	 msg='[SUCCESS]'
09:50:00.002686	 action=Action [customId=166	 type=SELL	 stock=2049 上銀	 volume=1	 price=302.50	 orderType=ROD]	 orderId=624900	 msg='[SUCCESS]'
09:50:00.002686	 action=Action [customId=167	 type=SELL	 stock=2049 上銀	 volume=8	 price=302.00	 orderType=ROD]	 orderId=624901	 msg='[SUCCESS]'
